1 input_north_south_trajectories.asc ' RR3X_h2 ' Apr  4 2025 17:29:31
  0  0 59
time            event_time      FSPV1           FSPV2           FSPV3           
pdynmc          mach            lonx            latx            alt             
dvbe            psivgx          thtvgx          SBEG1           SBEG2           
SBEG3           VBEG1           VBEG2           VBEG3           mprop           
phi             mass            cin             spi             thrust          
fmassr          thrst_req       cl              cd              cl_ov_cd        
cla             cn              ca              psivgcx         thtvgcx         
anx             avx             alphax          phimvx          phicx           
phix            qq              tip             ancomx          alcomx          
alx             altd            altcom          wp_sltrange     wp_grdrange     
rad_min         range_go        STBG1           STBG2           STBG3           
time_go         psisbx          thtsbx          mtargeting      
557.655         0               0.0207032       0.0081378       2.54407         
0.0103388       0.0206039       0.00838592      0               0               
0.932285        0               -0.688329       6.1827          6.1768          
6.1827          -0.0018269      6.61614         0.932238        0               
0               -0.000175049    24000           999999          580100          
114644          0               0               0               0               
0               0               0               0               
130             29.9            0.00343355      0.973704        -9.03399        
71988.8         5.94694         -118.117        34.584          24011.9         
1752.13         96.4621         -5.73824e-06    -12952.6        227941          
-11.8877        -197.194        1740.99         0.000175478     3               
0.62715         1906.84         0.879434        1240.57         6858.28         
554.836         0               0.0206715       0.00813524      2.54098         
0.0103374       0.0205718       0.00838413      0               0               
0.932235        0               -0.691533       6.1514          6.14542         
6.1514          -0.00183783     6.60718         0.932189        0               
0               -0.000175478    24000           999999          571411          
114647          0               0               0               0               
0               0               0               0               
135             34.9            0.003958        0.968649        -9.03405        
71991           5.94703         -118.022        34.575          24011.9         
1752.15         96.7009         -5.76807e-06    -13956.8        236644          
-11.8868        -204.453        1740.18         0.000176393     3               
0.62715         1904.02         0.879286        1240.59         6857.34         
552.018         0               0.0206398       0.00813268      2.53788         
0.0103359       0.0205397       0.00838233      0               0               
0.932185        0               -0.694738       6.11967         6.1136          
6.11967         -0.00184879     6.59825         0.932139        0               
0               -0.000176393    24000           999999          562720          
114651          0               0               0               0               
0               0               0               0               
140             39.9            0.00447492      0.963522        -9.0341         
71993.6         5.94714         -117.928        34.5656         24011.9         
1752.18         96.9389         -5.79956e-06    -14997.1        245343          
-11.8859        -211.682        1739.35         0.000177359     3               
0.62715         1901.2          0.879138        1240.61         6856.4          
549.2           0               0.020608        0.00813012      2.53477         
0.0103344       0.0205074       0.00838053      0               0               
0.932135        0               -0.697945       6.08748         6.08132         
6.08748         -0.00185977     6.58934         0.932088        0               
0               -0.000177359    24000           999999          554027          
114655          0               0               0               0               
0               0               0               0               
145             44.9            0.0049844       0.958321        -9.03416        
71996.3         5.94725         -117.833        34.556          24011.9         
1752.22         97.1759         -5.82745e-06    -16073.5        254038          
-11.885         -218.881        1738.49         0.000178215     3               
0.62715         1898.38         0.878991        1240.62         6855.46         
546.382         0               0.0205761       0.00812756      2.53165         
0.0103328       0.0204751       0.00837873      0               0               
0.932084        0               -0.701152       6.05482         6.04857         
6.05482         -0.00187078     6.58045         0.932037        0               
0               -0.000178215    24000           999999          545330          
114659          0               0               0               0               
0               0               0               0               
150             49.9            0.00548649      0.953044        -9.03421        
71999.4         5.94737         -117.738        34.546          24011.9         
1752.25         97.4121         -5.8519e-06     -17185.9        262728          
-11.8841        -226.048        1737.61         0.000178966     3               
0.62715         1895.56         0.878845        1240.63         6854.54         
543.565         0               0.0205442       0.008125        2.52852         
0.0103312       0.0204428       0.00837692      0               0               
0.932033        0               -0.704361       6.02168         6.01534         
6.02168         -0.00188181     6.57159         0.931986        0               
0               -0.000178966    24000           999999          536631          
114664          0               0               0               0               
0               0               0               0               
155             54.9            0.00598126      0.947686        -9.03427        
72002.6         5.94751         -117.644        34.5357         24011.9         
1752.29         97.6473         -5.87399e-06    -18334          271414          
-11.8832        -233.185        1736.71         0.000179646     3               
0.62715         1892.75         0.878699        1240.64         6853.61         
540.748         0               0.0205122       0.00812244      2.52538         
0.0103295       0.0204104       0.00837512      0               0               
0.931981        0               -0.707571       5.98803         5.98159         
5.98803         -0.00189287     6.56275         0.931934        0               
0               -0.000179646    24000           999999          527930          
114669          0               0               0               0               
0               0               0               0               
160             59.9            0.00646878      0.942247        -9.03432        
72006.1         5.94765         -117.55         34.5251         24011.9         
1752.34         97.8815         -5.89421e-06    -19517.7        280095          
-11.8823        -240.289        1735.78         0.000180269     3               
0.62715         1889.93         0.878554        1240.65         6852.7          
537.932         0               0.0204802       0.00811988      2.52222         
0.0103278       0.0203779       0.0083733       0               0               
0.931929        0               -0.710782       5.95387         5.94732         
5.95387         -0.00190396     6.55393         0.931881        0               
0               -0.000180269    24000           999999          519226          
114675          0               0               0               0               
0               0               0               0               
165             64.9            0.00694911      0.936721        -9.03438        
72009.7         5.9478          -117.455        34.5142         24011.9         
1752.38         98.1148         -5.9125e-06     -20736.8        288771          
-11.8814        -247.362        1734.83         0.000180833     3               
0.62715         1887.12         0.87841         1240.66         6851.79         
535.116         0               0.020448        0.00811732      2.51906         
0.010326        0.0203453       0.00837149      0               0               
0.931876        0               -0.713995       5.91916         5.91251         
5.91916         -0.00191507     6.54514         0.931828        0               
0               -0.000180833    24000           999999          510520          
114681          0               0               0               0               
0               0               0               0               
170             69.9            0.00742231      0.931107        -9.03444        
72013.7         5.94796         -117.361        34.503          24011.9         
1752.43         98.3472         -5.92865e-06    -21991.2        297443          
-11.8805        -254.401        1733.86         0.000181332     3               
0.62715         1884.3          0.878266        1240.66         6850.88         
532.3           0               0.0204158       0.00811477      2.51589         
0.0103241       0.0203127       0.00836967      0               0               
0.931822        0               -0.717208       5.88389         5.87713         
5.88389         -0.00192621     6.53636         0.931775        0               
0               -0.000181332    24000           999999          501811          
114687          0               0               0               0               
0               0               0               0               
175             74.9            0.00788846      0.925401        -9.03449        
72017.8         5.94813         -117.267        34.4914         24011.9         
1752.48         98.5785         -5.94245e-06    -23280.8        306110          
-11.8796        -261.407        1732.87         0.000181759     3               
0.62715         1881.49         0.878123        1240.67         6849.98         
529.485         0               0.0203836       0.00811221      2.5127          
0.0103222       0.02028         0.00836785      0               0               
0.931768        0               -0.720423       5.84804         5.84117         
5.84804         -0.00193738     6.52761         0.93172         0               
0               -0.000181759    24000           999999          493100          
114693          0               0               0               0               
0               0               0               0               
180             79.9            0.00834761      0.9196          -9.03455        
72022.1         5.94831         -117.173        34.4796         24011.9         
1752.53         98.8088         -5.95383e-06    -24605.2        314772          
-11.8787        -268.379        1731.86         0.000182112     3               
0.62715         1878.67         0.877981        1240.67         6849.09         
526.67          0               0.0203513       0.00810966      2.50951         
0.0103203       0.0202472       0.00836603      0               0               
0.931714        0               -0.72364        5.81158         5.8046          
5.81158         -0.00194858     6.51887         0.931665        0               
0               -0.000182112    24000           999999          484387          
114700          0               0               0               0               
0               0               0               0               
185             84.9            0.00879983      0.913699        -9.03461        
72026.7         5.9485          -117.078        34.4674         24011.9         
1752.59         99.0381         -5.96262e-06    -25964.5        323429          
-11.8778        -275.317        1730.83         0.000182387     3               
0.62715         1875.86         0.877839        1240.67         6848.2          
523.856         0               0.0203189       0.0081071       2.50631         
0.0103183       0.0202144       0.0083642       0               0               
0.931658        0               -0.726857       5.7745          5.76739         
5.7745          -0.0019598      6.51015         0.93161         0               
0               -0.000182387    24000           999999          475671          
114708          0               0               0               0               
0               0               0               0               
190             89.9            0.00924518      0.907695        -9.03466        
72031.5         5.9487          -116.984        34.4549         24011.9         
1752.64         99.2664         -5.96869e-06    -27358.4        332080          
-11.8769        -282.219        1729.77         0.000182579     3               
0.62715         1873.04         0.877697        1240.67         6847.31         
521.042         0               0.0202865       0.00810455      2.50309         
0.0103163       0.0201815       0.00836237      0               0               
0.931602        0               -0.730076       5.73676         5.72953         
5.73676         -0.00197105     6.50146         0.931554        0               
0               -0.000182579    24000           999999          466953          
114715          0               0               0               0               
0               0               0               0               
195             94.9            0.00968374      0.901584        -9.03472        
72036.4         5.9489          -116.891        34.4421         24011.9         
1752.71         99.4936         -5.97192e-06    -28786.6        340726          
-11.876         -289.086        1728.7          0.000182684     3               
0.62715         1870.23         0.877556        1240.67         6846.43         
518.228         0               0.020254        0.008102        2.49987         
0.0103142       0.0201486       0.00836054      0               0               
0.931546        0               -0.733296       5.69835         5.69099         
5.69835         -0.00198233     6.49278         0.931497        0               
0               -0.000182684    24000           999999          458233          
114723          0               0               0               0               
0               0               0               0               
200             99.9            0.0101156       0.895361        -9.03478        
72041.6         5.94912         -116.797        34.429          24011.9         
1752.77         99.7197         -5.97217e-06    -30249.2        349367          
-11.8751        -295.917        1727.61         0.000182698     3               
0.62715         1867.41         0.877416        1240.66         6845.56         
515.415         0               0.0202214       0.00809945      2.49664         
0.010312        0.0201156       0.0083587       0               0               
0.931488        0               -0.736517       5.65923         5.65173         
5.65923         -0.00199364     6.48411         0.931439        0               
0               -0.000182698    24000           999999          449511          
114731          0               0               0               0               
0               0               0               0               
205             104.9           0.0105407       0.889022        -9.03483        
72047           5.94934         -116.703        34.4156         24011.9         
1752.83         99.9447         -5.96929e-06    -31745.7        358002          
-11.8741        -302.71         1726.5          0.000182617     3               
0.62715         1864.6          0.877276        1240.65         6844.69         
