1 input_north_south_trajectories.asc  Apr  4 2025 17:29:30
  0  0 59
time            event_time      FSPV1           FSPV2           FSPV3           
pdynmc          mach            lonx            latx            alt             
dvbe            psivgx          thtvgx          SBEG1           SBEG2           
SBEG3           VBEG1           VBEG2           VBEG3           mprop           
phi             mass            cin             spi             thrust          
fmassr          thrst_req       cl              cd              cl_ov_cd        
cla             cn              ca              psivgcx         thtvgcx         
anx             avx             alphax          phimvx          phicx           
phix            qq              tip             ancomx          alcomx          
alx             altd            altcom          wp_sltrange     wp_grdrange     
rad_min         range_go        STBG1           STBG2           STBG3           
time_go         psisbx          thtsbx          mtargeting      
0.959704        0               -0.614549       -15.0104        -15.0145        
-15.0104        -0.00162595     6.63844         0.959662        0               
0               -0.000471569    24000           999999          686433          
114622          0               0               0               0               
0               0               0               0               
110             9.9             0.00392723      -2.42627        -9.03491        
71973.7         5.94631         -118.496        34.8003         24011.9         
1751.94         83.2335         -1.64384e-05    11199.5         192934          
-11.8712        206.418         1739.74         0.000502639     3               
0.629607        1917.72         0.882972        1239.85         6908.12         
565.72          0               0.0213954       0.00819508      2.61076         
0.0103621       0.0213058       0.00842517      0               0               
0.959817        0               -0.617498       -15.032         -15.0361        
-15.032         -0.00163594     6.62925         0.959775        0               
0               -0.000502639    24000           999999          678046          
114623          0               0               0               0               
0               0               0               0               
115             14.9            0.00447415      -2.43002        -9.03507        
71974.8         5.94635         -118.402        34.8098         24011.9         
1751.95         82.9171         -1.72102e-05    12255.6         201630          
-11.8687        216.025         1738.58         0.000526243     3               
0.629607        1914.88         0.882833        1239.88         6907.23         
562.88          0               0.0213665       0.00819266      2.60801         
0.010361        0.0212765       0.00842354      0               0               
0.959933        0               -0.620443       -15.0539        -15.0581        
-15.0539        -0.00164594     6.62009         0.959891        0               
0               -0.000526243    24000           999999          669650          
114625          0               0               0               0               
0               0               0               0               
120             19.9            0.0050146       -2.43383        -9.03524        
71976           5.9464          -118.307        34.8197         24011.9         
1751.97         82.6            -1.78785e-05    13359.8         210320          
-11.866         225.645         1737.38         0.000546682     3               
0.629607        1912.04         0.882694        1239.9          6906.33         
560.04          0               0.0213376       0.00819024      2.60525         
0.0103599       0.0212472       0.0084219       0               0               
0.960052        0               -0.623384       -15.0762        -15.0805        
-15.0762        -0.00165595     6.61094         0.960009        0               
0               -0.000546682    24000           999999          661246          
114627          0               0               0               0               
0               0               0               0               
125             24.9            0.00554858      -2.43771        -9.03541        
71977.4         5.94646         -118.212        34.83           24011.9         
1751.98         82.2823         -1.85478e-05    14512.1         219004          
-11.8632        235.279         1736.12         0.000567153     3               
0.629607        1909.2          0.882556        1239.92         6905.45         
557.2           0               0.0213087       0.00818783      2.60248         
0.0103587       0.0212179       0.00842026      0               0               
0.960173        0               -0.62632        -15.0989        -15.1032        
-15.0989        -0.00166598     6.60181         0.96013         0               
0               -0.000567153    24000           999999          652834          
114629          0               0               0               0               
0               0               0               0               
130             29.9            0.00607613      -2.44166        -9.03559        
71979           5.94652         -118.117        34.8408         24011.9         
1752            81.9639         -1.92438e-05    15712.6         227681          
-11.8603        244.924         1734.8          0.000588442     3               
0.629607        1906.36         0.882419        1239.94         6904.57         
554.361         0               0.0212798       0.00818543      2.59972         
0.0103575       0.0211886       0.00841862      0               0               
0.960296        0               -0.629252       -15.1219        -15.1263        
-15.1219        -0.00167601     6.5927          0.960253        0               
0               -0.000588442    24000           999999          644414          
114631          0               0               0               0               
0               0               0               0               
135             34.9            0.00659727      -2.44568        -9.03578        
71980.8         5.94659         -118.023        34.852          24011.9         
1752.03         81.6449         -1.99581e-05    16961.4         236351          
-11.8573        254.583         1733.43         0.000610292     3               
0.629607        1903.52         0.882282        1239.96         6903.7          
551.522         0               0.0212509       0.00818303      2.59695         
0.0103562       0.0211593       0.00841699      0               0               
0.960422        0               -0.63218        -15.1454        -15.1499        
-15.1454        -0.00168605     6.58362         0.96038         0               
0               -0.000610292    24000           999999          635986          
114634          0               0               0               0               
0               0               0               0               
140             39.9            0.00711205      -2.44977        -9.03597        
71982.7         5.94667         -117.928        34.8636         24011.9         
1752.05         81.3252         -2.06811e-05    18258.5         245015          
-11.8542        264.255         1732.01         0.000632407     3               
0.629607        1900.68         0.882147        1239.98         6902.83         
548.683         0               0.021222        0.00818063      2.59418         
0.0103549       0.0211301       0.00841535      0               0               
0.960551        0               -0.635102       -15.1692        -15.1738        
-15.1692        -0.00169611     6.57454         0.960508        0               
0               -0.000632407    24000           999999          627550          
114637          0               0               0               0               
0               0               0               0               
145             44.9            0.00762051      -2.45393        -9.03617        
71984.9         5.94676         -117.833        34.8756         24011.9         
1752.07         81.0048         -2.14093e-05    19604           253671          
-11.851         273.94          1730.53         0.000654684     3               
0.629607        1897.85         0.882012        1240            6901.97         
545.845         0               0.0211932       0.00817824      2.59141         
0.0103535       0.0211008       0.00841372      0               0               
0.960683        0               -0.63802        -15.1935        -15.1982        
-15.1935        -0.00170617     6.56549         0.96064         0               
0               -0.000654684    24000           999999          619106          
114641          0               0               0               0               
0               0               0               0               
150             49.9            0.00812269      -2.45817        -9.03638        
71987.2         5.94685         -117.739        34.8881         24011.8         
1752.1          80.6837         -2.21431e-05    20997.9         262320          
-11.8477        283.639         1728.99         0.000677133     3               
0.629607        1895.01         0.881878        1240.01         6901.12         
543.008         0               0.0211643       0.00817586      2.58863         
0.0103522       0.0210715       0.00841208      0               0               
0.960818        0               -0.640933       -15.2182        -15.2229        
-15.2182        -0.00171625     6.55645         0.960775        0               
0               -0.000677133    24000           999999          610654          
114644          0               0               0               0               
0               0               0               0               
155             54.9            0.00861861      -2.46249        -9.03659        
71989.6         5.94695         -117.645        34.9011         24011.8         
1752.13         80.3619         -2.28833e-05    22440.4         270961          
-11.8442        293.35          1727.4          0.000699782     3               
0.629607        1892.17         0.881745        1240.03         6900.27         
540.17          0               0.0211354       0.00817348      2.58585         
0.0103507       0.0210422       0.00841045      0               0               
0.960955        0               -0.64384        -15.2433        -15.2482        
-15.2433        -0.00172633     6.54743         0.960912        0               
0               -0.000699782    24000           999999          602195          
114648          0               0               0               0               
0               0               0               0               
160             59.9            0.00910832      -2.46688        -9.03681        
71992.3         5.94706         -117.55         34.9144         24011.8         
1752.16         80.0394         -2.36306e-05    23931.4         279594          
-11.8407        303.074         1725.75         0.000722647     3               
0.629607        1889.33         0.881612        1240.04         6899.43         
537.333         0               0.0211066       0.00817111      2.58307         
0.0103492       0.021013        0.00840882      0               0               
0.961096        0               -0.646742       -15.2689        -15.2738        
-15.2689        -0.00173642     6.53842         0.961052        0               
0               -0.000722647    24000           999999          593727          
114652          0               0               0               0               
0               0               0               0               
165             64.9            0.00959185      -2.47135        -9.03704        
71995.1         5.94718         -117.456        34.9282         24011.8         
1752.2          79.7161         -2.43849e-05    25471.1         288219          
-11.837         312.812         1724.05         0.00074573      3               
0.629607        1886.5          0.88148         1240.05         6898.6          
534.497         0               0.0210777       0.00816874      2.58029         
0.0103477       0.0209838       0.00840719      0               0               
0.961239        0               -0.649639       -15.295         -15.2999        
-15.295         -0.00174652     6.52943         0.961196        0               
0               -0.00074573     24000           999999          585253          
114657          0               0               0               0               
0               0               0               0               
170             69.9            0.0100692       -2.47591        -9.03727        
71998.1         5.9473          -117.362        34.9424         24011.8         
1752.23         79.3921         -2.51464e-05    27059.6         296835          
-11.8332        322.563         1722.29         0.000769033     3               
0.629607        1883.66         0.881349        1240.06         6897.77         
531.66          0               0.0210489       0.00816638      2.57751         
0.0103462       0.0209546       0.00840556      0               0               
0.961386        0               -0.65253        -15.3215        -15.3265        
-15.3215        -0.00175663     6.52045         0.961343        0               
0               -0.000769033    24000           999999          576770          
114661          0               0               0               0               
0               0               0               0               
175             74.9            0.0105405       -2.48055        -9.03752        
72001.2         5.94742         -117.268        34.9571         24011.8         
1752.27         79.0673         -2.59151e-05    28696.8         305441          
-11.8293        332.328         1720.47         0.000792557     3               
0.629607        1880.82         0.881219        1240.07         6896.95         
528.825         0               0.0210201       0.00816403      2.57472         
0.0103446       0.0209254       0.00840393      0               0               
0.961536        0               -0.655415       -15.3484        -15.3536        
-15.3484        -0.00176675     6.51149         0.961492        0               
0               -0.000792557    24000           999999          568280          
114666          0               0               0               0               
0               0               0               0               
180             79.9            0.0110056       -2.48528        -9.03776        
72004.5         5.94756         -117.174        34.9722         24011.8         
1752.31         78.7418         -2.6691e-05     30382.9         314039          
-11.8253        342.106         1718.59         0.000816307     3               
0.629607        1877.99         0.881089        1240.07         6896.13         
525.989         0               0.0209913       0.00816168      2.57194         
0.010343        0.0208962       0.00840231      0               0               
0.961689        0               -0.658294       -15.3759        -15.3812        
-15.3759        -0.00177687     6.50254         0.961646        0               
0               -0.000816307    24000           999999          559783          
114671          0               0               0               0               
0               0               0               0               
